date,state_abbr,state_full_name,positive,negative,pending,hospitalized,death,total,dateChecked
20200320,ID,Idaho,23,590,,,,613,2020-03-20T20:00:00Z
20200320,IL,Illinois,590,3696,,,5,4286,2020-03-20T20:00:00Z
20200320,IN,Indiana,79,475,,,2,554,2020-03-20T20:00:00Z
20200320,KS,Kansas,44,417,,,1,461,2020-03-20T20:00:00Z
20200320,KY,Kentucky,47,592,,,1,639,2020-03-20T20:00:00Z
20200320,LA,Louisiana,479,568,,,12,1047,2020-03-20T20:00:00Z
20200320,MA,Massachusetts,413,3678,,,1,4091,2020-03-20T20:00:00Z
20200320,MD,Maryland,149,94,,,1,243,2020-03-20T20:00:00Z
20200320,ME,Maine,57,2264,,,,2321,2020-03-20T20:00:00Z
20200320,MI,Michigan,549,2069,,,3,2618,2020-03-20T20:00:00Z
20200320,MN,Minnesota,115,3741,,,,3856,2020-03-20T20:00:00Z
20200320,MO,Missouri,47,369,,,1,416,2020-03-20T20:00:00Z
20200320,MP,Northern Marianas,0,,,,0,0,2020-03-20T20:00:00Z
20200320,MS,Mississippi,80,695,,,1,775,2020-03-20T20:00:00Z
20200320,MT,Montana,16,931,,,,947,2020-03-20T20:00:00Z
20200320,NC,North Carolina,137,3096,,,0,3233,2020-03-20T20:00:00Z
20200320,ND,North Dakota,20,800,,,0,820,2020-03-20T20:00:00Z
20200320,NE,Nebraska,32,240,,,0,272,2020-03-20T20:00:00Z
20200320,NH,New Hampshire,44,745,631,,,1420,2020-03-20T20:00:00Z
20200320,NJ,New Jersey,890,264,86,,11,1240,2020-03-20T20:00:00Z
20200320,NM,New Mexico,43,3771,,,,3814,2020-03-20T20:00:00Z
20200320,NV,Nevada,109,1992,-3,,1,2098,2020-03-20T20:00:00Z
20200320,NY,New York,7102,25325,,,35,32427,2020-03-20T20:00:00Z
20200320,OH,Ohio,169,140,,,1,309,2020-03-20T20:00:00Z
20200320,OK,Oklahoma,49,538,374,,1,961,2020-03-20T20:00:00Z
20200320,OR,Oregon,114,2003,433,,3,2550,2020-03-20T20:00:00Z
20200320,PA,Pennsylvania,268,2574,,,1,2842,2020-03-20T20:00:00Z
20200320,PR,Puerto Rico,14,114,52,,,180,2020-03-20T20:00:00Z
20200320,RI,Rhode Island,54,654,140,,,848,2020-03-20T20:00:00Z
20200320,SC,South Carolina,81,833,,,1,914,2020-03-20T20:00:00Z
20200320,SD,South Dakota,14,663,270,,1,947,2020-03-20T20:00:00Z
20200320,TN,Tennessee,228,563,,,,791,2020-03-20T20:00:00Z
20200320,TX,Texas,194,5083,,,5,5277,2020-03-20T20:00:00Z
20200320,UT,Utah,112,2035,,,0,2147,2020-03-20T20:00:00Z
20200320,VA,Virginia,114,2211,,,2,2325,2020-03-20T20:00:00Z
20200320,VI,Virgin Islands,3,,,,0,3,2020-03-20T20:00:00Z
20200320,VT,Vermont,29,779,,,2,808,2020-03-20T20:00:00Z
20200320,WA,Washington,1376,19336,,,74,20712,2020-03-20T20:00:00Z
20200320,WI,Wisconsin,206,3455,,,3,3661,2020-03-20T20:00:00Z
20200320,WV,West Virginia,7,219,13,,0,239,2020-03-20T20:00:00Z
20200320,WY,Wyoming,19,331,,,,350,2020-03-20T20:00:00Z
20200319,AK,Alaska,6,400,,,,406,2020-03-19T20:00:00Z
20200319,AL,Alabama,68,28,,,0,96,2020-03-19T20:00:00Z
20200319,AR,Arkansas,46,310,113,,,469,2020-03-19T20:00:00Z
20200319,AS,American Samoa,0,,,,0,0,2020-03-19T20:00:00Z
20200319,AZ,Arizona,44,175,130,,0,349,2020-03-19T20:00:00Z
20200319,CA,California,924,8787,,,18,9711,2020-03-19T20:00:00Z
20200319,CO,Colorado,216,2112,,,2,2328,2020-03-19T20:00:00Z
20200319,CT,Connecticut,96,604,,,1,700,2020-03-19T20:00:00Z
20200319,DC,Dist. of Columbia,39,153,11,,0,203,2020-03-19T20:00:00Z
20200319,DE,Delaware,30,36,,,0,66,2020-03-19T20:00:00Z
20200319,FL,Florida,390,1533,1019,,8,2942,2020-03-19T20:00:00Z
20200319,GA,Georgia,287,1544,,,10,1831,2020-03-19T20:00:00Z
20200319,GU,Guam,12,69,,,,81,2020-03-19T20:00:00Z
20200319,HI,Hawaii,16,93,9,,,118,2020-03-19T20:00:00Z
20200319,IA,Iowa,38,83,,,,121,2020-03-19T20:00:00Z
20200319,ID,Idaho,11,457,,,,468,2020-03-19T20:00:00Z
20200319,IL,Illinois,426,2725,,,4,3151,2020-03-19T20:00:00Z
20200319,IN,Indiana,56,324,,,2,380,2020-03-19T20:00:00Z
20200319,KS,Kansas,34,417,,,1,451,2020-03-19T20:00:00Z
20200319,KY,Kentucky,35,454,,,1,489,2020-03-19T20:00:00Z
20200319,LA,Louisiana,347,458,,,8,805,2020-03-19T20:00:00Z
20200319,MA,Massachusetts,328,2804,,,,3132,2020-03-19T20:00:00Z
20200319,MD,Maryland,107,94,,,1,201,2020-03-19T20:00:00Z
20200319,ME,Maine,53,2004,,,,2057,2020-03-19T20:00:00Z
20200319,MI,Michigan,336,2113,,,3,2449,2020-03-19T20:00:00Z
20200319,MN,Minnesota,89,2949,,,,3038,2020-03-19T20:00:00Z
20200319,MO,Missouri,24,308,,,1,332,2020-03-19T20:00:00Z
20200319,MP,Northern Marianas,0,,,,0,0,2020-03-19T20:00:00Z
20200319,MS,Mississippi,50,552,,,,602,2020-03-19T20:00:00Z
20200319,MT,Montana,12,761,0,,,773,2020-03-19T20:00:00Z
20200319,NC,North Carolina,97,2408,,,0,2505,2020-03-19T20:00:00Z
20200319,ND,North Dakota,15,493,,,0,508,2020-03-19T20:00:00Z
20200319,NE,Nebraska,27,240,,,0,267,2020-03-19T20:00:00Z
20200319,NH,New Hampshire,39,621,231,,,891,2020-03-19T20:00:00Z
20200319,NJ,New Jersey,742,210,74,,9,1026,2020-03-19T20:00:00Z
20200319,NM,New Mexico,35,2762,,,,2797,2020-03-19T20:00:00Z
20200319,NV,Nevada,95,1626,,,1,1721,2020-03-19T20:00:00Z
20200319,NY,New York,4152,18132,,,12,22284,2020-03-19T20:00:00Z
20200319,OH,Ohio,119,140,,,,259,2020-03-19T20:00:00Z
20200319,OK,Oklahoma,44,466,250,,1,760,2020-03-19T20:00:00Z
20200319,OR,Oregon,88,1329,437,,3,1854,2020-03-19T20:00:00Z
20200319,PA,Pennsylvania,185,1608,,,1,1793,2020-03-19T20:00:00Z
20200319,PR,Puerto Rico,5,56,29,,,90,2020-03-19T20:00:00Z
20200319,RI,Rhode Island,33,540,334,,,907,2020-03-19T20:00:00Z
20200319,SC,South Carolina,60,583,,,1,643,2020-03-19T20:00:00Z
20200319,SD,South Dakota,11,551,385,,1,947,2020-03-19T20:00:00Z
20200319,TN,Tennessee,154,349,,,,503,2020-03-19T20:00:00Z
20200319,TX,Texas,143,2212,,,3,2355,2020-03-19T20:00:00Z
20200319,UT,Utah,78,1448,,,0,1526,2020-03-19T20:00:00Z
20200319,VA,Virginia,94,1829,,,2,1923,2020-03-19T20:00:00Z
20200319,VI,Virgin Islands,3,,,,0,3,2020-03-19T20:00:00Z
20200319,VT,Vermont,22,645,,,,667,2020-03-19T20:00:00Z
20200319,WA,Washington,1187,15918,,,66,17105,2020-03-19T20:00:00Z
20200319,WI,Wisconsin,155,2192,,,,2347,2020-03-19T20:00:00Z
20200319,WV,West Virginia,2,143,3,,0,148,2020-03-19T20:00:00Z
20200319,WY,Wyoming,18,271,,,,289,2020-03-19T20:00:00Z
20200318,AK,Alaska,6,406,,,,412,2020-03-18T20:00:00Z
20200318,AL,Alabama,46,28,,,0,74,2020-03-18T20:00:00Z
20200318,AR,Arkansas,33,236,50,,,319,2020-03-18T20:00:00Z
